"Select the plans you want to appear in the checkout", "Seleccione los planes que desee que aparezcan al finalizar la compra"
"Edit payment plans for this product", "Editar planes de pago para este producto"
"Mobbex Options", "Opciones de Mobbex"
"Common plans", "Planes comunes"
"Plans Configuration", "Configuración de planes"
"Plans with advanced rules", "Planes con reglas avanzadas"
"The payment has failed.", "El pago ha fallado."
